ts,open,high,low,close,volume
1767699600000,139.21,139.22,139.03,139.1,3695.01
1767699900000,139.09,139.61,138.99,139.59,5470.35
1767700200000,139.58,139.62,139.3,139.32,4360.43
1767700500000,139.31,139.45,139.31,139.45,7308.53
1767700800000,139.45,139.5,139.25,139.28,4186.63
1767701100000,139.27,139.57,139.2,139.24,5204.43
1767701400000,139.23,139.41,139.23,139.35,8316.9
1767701700000,139.34,139.42,139.28,139.38,14359.47
1767702000000,139.36,139.4,139.23,139.3,8889.03
1767702300000,139.31,139.31,139.15,139.24,5009.04
1767702600000,139.22,139.26,139.13,139.25,6433.83
1767702900000,139.27,139.31,138.97,139.07,7291.1
1767703200000,139.05,139.2,138.98,139.0,1878.27
1767703500000,139.01,139.09,138.98,139.0,1617.22
1767703800000,139.0,139.03,138.87,138.94,3576.74
1767704100000,138.95,139.1,138.91,139.05,405.49
1767704400000,139.04,139.04,138.83,138.86,1852.19
1767704700000,138.88,138.92,138.78,138.87,3017.04
1767705000000,138.84,139.37,138.71,139.32,18441.51
1767705300000,139.32,139.44,138.95,139.12,8103.43
1767705600000,139.1,139.21,138.98,139.16,2168.42
1767705900000,139.12,139.22,139.02,139.06,3988.04
1767706200000,139.07,139.14,138.95,138.95,5623.0
1767706500000,138.95,138.95,138.85,138.88,3459.54
1767706800000,138.91,138.93,138.84,138.89,1654.73
1767707100000,138.89,138.89,138.7,138.74,1882.74
1767707400000,138.75,139.3,138.74,139.18,6508.12
1767707700000,139.17,139.36,139.01,139.06,6224.41
1767708000000,139.07,139.58,139.07,139.48,13917.43
1767708300000,139.5,139.96,139.4,139.75,27471.5
1767708600000,139.81,140.93,139.78,140.93,115209.55
1767708900000,140.93,142.98,140.91,142.73,152224.57
1767709200000,142.73,143.36,142.4,142.96,99450.25
1767709500000,142.99,143.0,142.59,142.66,19441.09
1767709800000,142.66,142.76,141.66,141.92,93380.99
1767710100000,141.95,142.42,141.79,142.4,40942.43
1767710400000,142.4,142.6,141.76,141.87,54506.56
1767710700000,141.9,142.29,141.04,141.61,96538.77
1767711000000,141.61,142.17,141.33,141.68,34690.47
1767711300000,141.7,142.16,141.1,141.98,136081.99
1767711600000,141.98,142.05,141.61,141.76,21043.92
1767711900000,141.79,142.3,141.68,141.99,56183.25
