ts_iso,ts,window_ms,addresses,results_count
2025-11-21T17:00:00+05:30,1763724600000,600000,174,2
2025-11-21T17:00:00+05:30,1763724600000,600000,174,2
2025-11-21T17:00:00+05:30,1763724600000,600000,174,0
2025-11-21T17:00:00+05:30,1763724600000,600000,174,0
2025-11-21T17:00:00+05:30,1763724600000,600000,174,2
2025-11-21T17:00:00+05:30,1763724600000,600000,174,0
2025-11-21T17:05:00+05:30,1763724900000,600000,174,14
2025-11-21T17:05:00+05:30,1763724900000,600000,174,7
2025-11-21T17:05:00+05:30,1763724900000,600000,174,88
2025-11-21T17:05:00+05:30,1763724900000,600000,174,6
2025-11-21T17:05:00+05:30,1763724900000,600000,174,70
2025-11-21T17:05:00+05:30,1763724900000,600000,174,2
2025-11-21T17:05:00+05:30,1763724900000,600000,174,0
2025-11-21T17:05:00+05:30,1763724900000,600000,174,0
2025-11-21T17:05:00+05:30,1763724900000,600000,174,0
2025-11-21T17:05:00+05:30,1763724900000,600000,174,0
2025-11-21T17:05:00+05:30,1763724900000,600000,174,0
2025-11-21T17:10:00+05:30,1763725200000,600000,174,105
2025-11-21T17:10:00+05:30,1763725200000,600000,174,242
2025-11-21T17:10:00+05:30,1763725200000,600000,174,130
2025-11-21T17:10:00+05:30,1763725200000,600000,174,155
2025-11-21T17:10:00+05:30,1763725200000,600000,174,0
2025-11-21T17:10:00+05:30,1763725200000,600000,174,83
2025-11-21T17:10:00+05:30,1763725200000,600000,174,123
2025-11-21T17:10:00+05:30,1763725200000,600000,174,73
2025-11-21T17:10:00+05:30,1763725200000,600000,174,0
2025-11-21T17:10:00+05:30,1763725200000,600000,174,0
2025-11-21T17:10:00+05:30,1763725200000,600000,174,0
2025-11-21T17:15:00+05:30,1763725500000,600000,174,50
2025-11-21T17:15:00+05:30,1763725500000,600000,174,31
2025-11-21T17:15:00+05:30,1763725500000,600000,174,220
2025-11-21T17:15:00+05:30,1763725500000,600000,174,391
2025-11-21T17:15:00+05:30,1763725500000,600000,174,77
2025-11-21T17:15:00+05:30,1763725500000,600000,174,0
2025-11-21T17:15:00+05:30,1763725500000,600000,174,5
2025-11-21T17:15:00+05:30,1763725500000,600000,174,0
