ts,open,high,low,close,volume
1767914700000,138.64,138.75,138.55,138.75,1514.2
1767915000000,138.74,138.8,138.36,138.56,5760.89
1767915300000,138.57,139.03,138.57,138.82,31562.83
1767915600000,138.83,139.06,138.83,138.86,4964.49
1767915900000,138.86,138.87,138.35,138.49,31303.07
1767916200000,138.53,138.54,138.26,138.28,5820.86
1767916500000,138.28,138.46,138.28,138.37,3049.16
1767916800000,138.38,138.63,138.37,138.63,3656.24
1767917100000,138.56,138.64,138.47,138.54,1806.65
1767917400000,138.53,138.74,138.52,138.63,23976.41
1767917700000,138.64,138.66,138.31,138.6,23509.46
1767918000000,138.61,138.83,138.61,138.76,7637.56
1767918300000,138.74,138.82,138.57,138.57,1028.97
1767918600000,138.62,138.86,138.62,138.85,1115.05
1767918900000,138.85,139.0,138.77,138.93,3395.83
1767919200000,138.96,139.08,138.96,139.06,3443.73
1767919500000,139.05,139.29,139.01,139.23,37967.65
1767919800000,139.23,139.34,139.14,139.2,8705.3
1767920100000,139.18,139.19,139.05,139.13,1496.54
1767920400000,139.16,139.3,139.12,139.26,4554.42
1767920700000,139.21,139.22,139.05,139.1,3906.45
1767921000000,139.09,139.18,138.93,138.95,5211.03
1767921300000,138.95,138.99,138.82,138.82,7704.67
1767921600000,138.82,138.86,138.41,138.5,3737.13
1767921900000,138.49,139.53,138.2,139.39,18862.57
1767922200000,139.36,139.58,138.3,138.33,33091.61
1767922500000,138.35,138.42,137.71,138.04,17797.44
1767922800000,138.09,138.12,137.74,137.83,3591.88
1767923100000,137.86,138.4,137.86,138.38,4414.64
1767923400000,138.38,138.39,137.95,138.1,4998.5
1767923700000,138.15,138.39,138.15,138.3,2952.05
1767924000000,138.28,138.78,138.21,138.64,5057.51
1767924300000,138.7,139.27,138.69,139.1,7505.03
1767924600000,139.1,139.46,139.09,139.23,11697.58
1767924900000,139.24,139.39,139.21,139.31,12600.16
1767925200000,139.34,139.53,139.34,139.38,6753.9
1767925500000,139.37,139.39,139.13,139.15,7722.02
1767925800000,139.15,139.31,138.96,139.02,2886.59
1767926100000,139.03,139.24,139.01,139.02,2380.05
1767926400000,138.99,139.11,138.9,139.07,2615.29
1767926700000,139.07,139.18,138.93,138.93,8063.64
1767927000000,138.94,139.08,138.86,138.93,1665.93
1767927300000,138.93,138.97,138.85,138.96,760.43
1767927600000,139.02,139.35,138.9,139.35,4515.99
1767927900000,139.34,139.7,139.33,139.5,4006.76
1767928200000,139.52,139.82,139.46,139.8,1327.84
1767928500000,139.79,139.95,139.66,139.91,8434.93
1767928800000,139.92,140.16,139.52,139.54,12688.58
1767929100000,139.53,139.53,139.22,139.45,4341.91
1767929400000,139.47,139.67,139.38,139.62,1246.22
1767929700000,139.62,140.11,139.61,140.06,5191.69
1767930000000,140.06,140.07,139.84,139.97,7164.53
1767930300000,139.95,141.15,139.95,140.91,23165.36
1767930600000,140.94,141.0,140.73,140.88,2946.74
1767930900000,140.87,141.01,140.68,140.78,5918.16
1767931200000,140.82,141.07,140.64,140.89,6817.19
1767931500000,140.81,140.81,140.56,140.59,4162.33
1767931800000,140.58,140.58,140.32,140.41,18274.98
1767932100000,140.4,140.55,140.34,140.46,947.79
1767932400000,140.44,140.45,140.33,140.43,1432.08
1767932700000,140.42,140.49,140.28,140.32,1975.97
1767933000000,140.32,140.42,139.85,139.96,17727.13
1767933300000,139.95,139.95,139.74,139.75,10401.61
1767933600000,139.76,139.86,139.69,139.71,1444.03
1767933900000,139.75,139.96,139.74,139.8,1847.87
1767934200000,139.79,139.93,139.77,139.8,1547.13
1767934500000,139.79,139.83,139.62,139.72,5501.45
1767934800000,139.73,140.14,139.7,140.11,8061.88
1767935100000,140.1,140.15,139.89,140.01,3279.38
1767935400000,139.99,140.11,139.9,140.1,2598.59
1767935700000,140.08,140.1,139.68,139.77,1686.15
1767936000000,139.76,139.76,139.49,139.66,5478.8
1767936300000,139.67,139.72,139.55,139.58,4108.32
1767936600000,139.57,139.65,139.51,139.55,2500.08
1767936900000,139.54,139.63,139.46,139.63,1871.81
1767937200000,139.62,139.71,139.54,139.55,1398.54
1767937500000,139.55,139.67,139.54,139.64,1898.59
1767937800000,139.63,139.8,139.63,139.71,1208.07
1767938100000,139.73,139.95,139.73,139.94,3008.83
1767938400000,139.94,139.94,139.8,139.87,2429.95
1767938700000,139.89,139.98,139.88,139.89,1511.47
1767939000000,139.91,139.97,139.73,139.74,5078.1
1767939300000,139.75,140.04,139.74,139.85,4459.03
1767939600000,139.85,139.91,139.74,139.82,2015.93
1767939900000,139.82,139.83,139.65,139.65,805.05
1767940200000,139.66,140.09,139.66,140.0,9056.31
1767940500000,139.99,140.03,139.88,139.99,2610.89
1767940800000,139.97,140.12,139.97,140.06,16730.26
1767941100000,140.05,140.45,140.04,140.42,2744.01
